,const,children,age,income,port_modem,tablet,phone,multiple,online_security,online_backup,device_protection,tech_support,streaming_t_v,streaming_movies,paperless_billing,tenure,monthly_charge,bandwidth_g_b_year,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,item1,item2,item3,item4,item5,item6,item7,item8,marital_married,marital_never_married,marital_separated,marital_widowed,area_suburban,area_urban,gender_male,gender_nonbinary,contract_one_year,contract_two_year,internet_service_fiber_optic,internet_service_none,payment_method_credit_card_automatic,payment_method_electronic_check,payment_method_mailed_check
9696,1.0,0,80,98120,1,1,0,0,1,1,0,0,0,1,0,60,152,5682,14,13,0,0,0,5,5,4,1,4,4,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
5347,1.0,3,79,37900,0,0,1,1,0,1,0,0,0,0,0,59,147,5449,11,8,0,1,0,4,3,3,3,3,2,4,4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2158,1.0,0,51,44034,1,0,1,1,0,0,0,0,1,1,0,2,240,753,5,9,1,0,1,2,3,4,5,2,4,3,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
4834,1.0,8,63,32072,1,0,1,1,1,0,1,0,0,0,1,3,127,702,13,16,1,1,1,4,3,4,3,5,3,3,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
5875,1.0,2,31,58304,0,1,1,0,1,1,1,0,0,0,1,50,129,4947,5,18,2,0,0,3,4,4,3,4,3,3,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
5867,1.0,2,60,20726,0,1,0,0,0,1,0,0,1,1,1,65,210,6417,7,15,1,0,0,4,4,5,4,3,2,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
9456,1.0,2,61,78187,1,1,1,0,0,1,1,0,1,1,1,45,222,4847,4,16,0,0,0,2,2,2,2,5,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
5413,1.0,3,19,53165,0,0,1,0,0,1,1,0,1,0,1,54,172,5030,7,11,1,1,0,4,4,5,3,4,4,4,5,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
4323,1.0,2,45,114051,1,0,1,1,1,0,0,1,0,0,1,21,127,2087,6,13,0,1,0,2,2,3,5,4,4,3,5,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
4881,1.0,0,87,35805,0,0,1,1,0,0,1,1,0,1,1,2,184,873,14,14,1,0,0,5,4,5,3,4,5,2,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
7229,1.0,1,44,23948,0,1,1,0,1,1,1,0,1,0,1,54,174,4952,9,12,2,0,0,3,3,3,3,5,2,3,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1343,1.0,0,34,7326,0,0,1,0,0,0,1,1,1,0,1,4,142,1192,9,8,4,1,0,3,3,3,5,1,4,4,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
7892,1.0,1,66,35965,0,0,1,1,1,0,1,0,0,0,1,63,160,5449,7,13,3,0,0,3,3,4,3,4,4,4,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2276,1.0,1,57,6707,0,1,1,0,0,0,0,1,0,1,1,6,127,785,10,13,0,1,0,1,1,3,6,1,4,3,4,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
4150,1.0,3,58,14656,0,0,1,1,1,0,0,0,0,0,0,10,127,1471,7,17,0,0,0,2,4,3,4,3,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9239,1.0,7,25,48299,0,0,1,1,0,1,0,0,0,1,0,69,202,6339,3,8,1,0,0,4,3,4,3,6,4,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
352,1.0,3,48,64420,0,0,1,1,0,0,0,1,0,1,1,10,192,1312,11,15,3,2,0,4,4,4,4,4,5,5,5,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
7317,1.0,1,21,72202,0,1,1,0,0,0,0,1,1,0,0,45,117,4122,5,12,1,0,0,3,2,4,3,4,4,2,3,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
373,1.0,1,87,31282,0,0,1,0,1,0,0,0,1,0,1,1,107,302,6,18,1,0,0,3,4,4,3,5,4,4,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
8944,1.0,4,32,68056,0,0,1,1,0,1,1,0,0,0,0,53,179,4893,13,15,0,0,1,3,3,4,4,2,4,4,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
8387,1.0,2,24,64277,0,0,1,0,1,0,0,0,0,0,1,55,94,5156,8,10,0,0,0,5,5,5,4,4,6,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4571,1.0,0,32,20998,0,1,1,0,0,0,1,0,1,0,1,11,117,1309,9,10,0,1,0,3,3,3,3,4,3,2,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
3722,1.0,0,19,62575,1,0,1,0,1,0,0,1,0,1,0,4,142,1116,4,11,3,0,1,4,5,5,2,2,5,2,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6255,1.0,3,81,38768,1,0,1,0,0,0,0,0,1,0,0,57,104,4856,10,16,0,0,0,3,3,3,4,3,4,3,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
6589,1.0,0,44,12857,1,0,1,0,0,0,1,1,0,0,1,61,137,5219,6,10,1,1,0,3,5,4,4,4,3,3,5,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
7735,1.0,3,27,73031,0,1,1,0,0,1,0,0,0,0,1,56,102,4909,9,12,1,1,0,4,4,3,3,3,3,2,5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
9386,1.0,4,78,37261,0,0,1,1,1,1,1,0,0,1,1,63,217,5689,6,8,0,4,0,4,3,3,3,4,4,2,4,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
9417,1.0,1,70,10514,1,1,1,0,0,0,0,1,1,1,1,56,220,5069,4,12,2,1,0,3,3,4,5,2,2,4,2,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0
7231,1.0,0,18,87721,1,0,0,0,1,0,1,0,1,0,1,71,120,6293,3,8,0,1,0,2,2,4,3,5,2,2,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
4486,1.0,0,28,93909,0,1,1,1,0,1,0,0,0,1,0,12,202,1438,9,8,0,0,0,5,4,4,4,3,4,6,7,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
8583,1.0,0,31,20213,1,0,1,0,1,1,0,0,0,0,1,64,104,5581,12,11,2,1,0,3,5,5,5,2,5,4,5,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
1132,1.0,0,70,37518,0,1,1,0,0,1,1,0,1,0,1,10,172,1144,9,8,2,0,1,4,3,2,4,4,4,4,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
4783,1.0,6,70,23803,0,0,1,1,0,1,1,0,1,0,0,7,204,1185,7,16,1,0,0,2,3,3,4,2,3,3,3,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1
9689,1.0,3,34,31959,1,0,1,0,1,1,0,0,1,0,1,59,129,5441,7,11,1,0,0,4,2,3,3,4,3,3,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
4597,1.0,3,20,27558,1,1,1,1,0,0,0,0,0,0,0,2,144,463,9,10,1,1,0,3,2,3,4,4,2,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
1202,1.0,0,29,49106,1,0,1,0,0,0,0,0,0,0,1,13,92,1571,10,14,0,0,0,1,2,1,3,3,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5014,1.0,3,46,27270,0,0,1,0,1,1,0,0,0,1,0,71,152,6715,10,13,1,0,0,4,3,5,3,2,3,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9813,1.0,8,80,4937,1,1,1,0,1,1,0,1,0,0,1,40,129,4126,9,15,0,1,0,3,3,3,3,2,3,4,5,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
3843,1.0,5,89,70822,1,0,1,1,0,0,0,0,1,1,1,10,240,1373,7,7,1,0,0,4,4,4,5,3,3,4,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
997,1.0,4,81,29527,1,0,1,1,1,0,1,0,1,0,0,9,152,1280,11,13,0,0,0,2,2,1,5,3,4,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
401,1.0,4,52,77291,1,0,1,0,0,0,0,1,0,1,0,1,139,794,11,13,0,0,1,2,4,3,4,3,5,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6289,1.0,6,84,32666,1,1,1,0,0,0,0,0,0,0,1,59,112,4930,9,12,2,0,0,3,4,3,2,4,3,3,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
8336,1.0,4,18,16151,1,0,1,0,0,1,1,0,1,1,0,60,222,6227,7,9,1,1,0,2,4,1,4,3,3,3,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
9929,1.0,2,37,35233,1,0,1,1,1,0,0,0,1,1,0,57,210,5427,10,10,1,0,0,3,5,4,4,2,4,4,5,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
9087,1.0,2,58,62969,0,0,1,0,1,0,0,1,1,1,1,58,190,5334,5,10,1,1,0,3,2,4,3,4,2,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
295,1.0,2,48,42469,0,0,1,1,1,0,1,0,0,0,1,8,160,958,11,14,1,0,0,4,4,4,1,7,3,2,3,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
2796,1.0,3,82,131511,1,0,1,1,0,1,1,1,0,0,1,13,172,1838,9,7,0,1,0,3,3,3,4,3,3,5,3,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
2729,1.0,2,35,56144,0,1,1,0,0,1,1,1,0,0,1,5,127,723,9,12,2,2,0,4,4,4,4,4,4,3,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1381,1.0,3,82,33168,1,0,1,0,0,0,0,1,1,0,1,31,129,3192,10,1,1,0,0,3,2,2,3,3,3,3,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
8629,1.0,1,47,26722,0,0,1,0,1,0,0,0,0,0,1,65,114,5593,14,14,2,0,0,3,2,2,5,2,4,4,4,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
9603,1.0,1,27,91852,0,0,1,0,0,0,1,0,1,0,1,51,129,4994,7,13,1,0,0,3,3,1,3,4,1,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
5805,1.0,2,51,49525,1,1,1,1,0,1,0,1,1,0,0,58,204,5208,10,10,2,0,0,2,2,2,2,5,2,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1
5181,1.0,6,52,21008,0,0,0,0,1,1,1,0,0,1,1,40,152,3894,9,9,1,1,0,3,3,3,5,3,3,3,4,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
6727,1.0,1,61,42590,1,0,1,0,0,0,1,0,0,1,1,58,159,4989,9,13,0,0,0,4,5,4,3,3,3,4,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
2004,1.0,5,49,84914,1,0,1,1,1,0,0,0,1,1,0,7,242,1410,11,13,2,0,0,3,3,3,3,5,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4983,1.0,1,54,54875,0,0,1,0,1,1,0,0,0,1,1,16,172,1784,17,15,1,1,0,3,4,2,2,5,2,2,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3771,1.0,0,37,28158,1,0,1,1,0,0,1,1,1,0,0,1,194,544,4,12,0,0,0,4,4,3,5,4,6,2,4,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
1662,1.0,4,52,78085,0,0,1,0,0,1,1,0,0,0,1,2,127,913,7,13,0,0,0,1,1,2,3,3,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7842,1.0,2,63,15263,0,0,1,1,1,0,0,0,0,0,1,71,147,6122,11,9,2,0,0,3,2,5,4,4,3,3,4,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
6022,1.0,0,59,32714,0,0,1,0,1,1,1,0,0,0,1,54,117,4756,11,9,0,1,0,4,5,4,4,3,4,5,5,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0
1456,1.0,1,78,27235,0,1,1,0,0,1,1,0,0,0,0,14,127,1696,6,13,1,0,1,3,2,3,1,5,2,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1582,1.0,8,32,57380,1,0,1,1,0,0,0,1,1,0,0,12,162,2025,9,14,1,1,0,3,4,4,2,4,3,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2515,1.0,3,64,17126,1,0,0,1,1,0,1,0,0,0,1,14,160,1507,12,9,0,0,0,3,4,5,4,3,3,3,4,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
5999,1.0,3,65,28627,1,0,1,0,0,1,0,1,0,1,1,71,182,6269,5,12,1,0,0,5,4,6,4,1,5,6,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
626,1.0,2,55,14331,0,0,1,1,0,1,1,0,1,1,1,3,275,1045,10,10,0,0,0,4,4,4,4,4,5,5,4,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0
8935,1.0,0,53,15125,1,1,1,0,0,1,1,0,1,1,0,70,222,6857,9,8,1,0,0,3,3,3,4,3,4,4,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
463,1.0,8,42,6117,0,0,1,0,0,0,1,1,0,0,0,13,105,1541,10,17,1,0,0,3,4,2,4,3,3,5,4,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
2212,1.0,1,28,65499,0,0,1,1,0,1,0,0,0,0,1,20,134,2021,9,14,1,0,0,4,3,4,4,2,5,4,3,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
1521,1.0,2,68,37911,1,0,1,0,1,0,0,0,0,0,1,1,114,253,9,12,1,1,0,4,2,3,5,3,5,5,3,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
7128,1.0,0,65,13188,1,1,1,0,1,0,0,0,0,1,1,58,129,5400,13,13,0,1,0,4,3,3,4,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6058,1.0,1,70,40030,0,0,1,1,1,0,0,1,1,0,0,65,164,6109,12,11,1,1,1,4,3,4,3,3,3,3,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1361,1.0,0,35,11098,1,0,1,1,0,1,0,1,1,1,1,4,255,1467,4,15,2,0,0,3,2,3,5,4,4,4,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
4068,1.0,1,40,21018,0,0,1,0,0,0,0,0,1,1,0,13,187,2006,8,15,1,0,0,4,4,3,3,5,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7183,1.0,3,89,5331,1,0,1,0,0,0,0,0,1,0,1,48,117,4615,8,15,0,0,0,5,5,5,5,4,3,4,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8503,1.0,1,64,57498,1,0,1,1,1,1,0,0,1,1,0,55,265,5234,5,8,2,1,0,4,4,3,2,4,3,3,4,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
9924,1.0,3,23,67050,1,1,1,1,0,0,1,0,1,1,1,67,220,6335,7,14,0,2,0,2,2,3,3,4,3,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6952,1.0,3,56,19011,0,1,1,0,1,0,1,0,0,0,0,69,95,5940,9,13,0,0,0,3,2,3,3,4,2,1,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
710,1.0,0,48,24034,1,1,1,0,0,1,0,0,0,1,0,5,149,1207,9,16,2,3,1,3,4,4,3,3,5,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
6325,1.0,0,32,67872,0,0,1,0,1,1,1,0,0,0,0,53,129,5149,14,12,1,1,1,4,4,5,3,4,4,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5144,1.0,4,68,29189,0,1,1,1,1,0,0,0,0,0,0,56,147,4805,10,9,1,0,0,1,1,2,5,3,3,3,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
304,1.0,2,62,28502,0,0,1,0,0,0,1,1,0,1,1,16,172,1729,7,10,1,2,0,4,4,4,3,3,3,4,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
9106,1.0,6,23,58670,0,0,1,0,1,1,0,0,0,0,1,67,117,6503,14,12,1,1,0,3,3,3,2,5,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3377,1.0,0,35,45571,1,1,1,1,0,1,1,0,1,1,1,5,255,1674,4,12,1,1,1,3,4,2,3,4,2,4,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9972,1.0,1,53,35415,1,0,1,0,1,0,1,1,1,0,0,60,144,5706,9,14,4,0,0,4,4,4,5,2,5,4,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
3216,1.0,1,31,18025,1,1,1,0,0,0,0,1,1,0,1,4,149,693,12,16,0,0,0,4,4,6,2,4,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7594,1.0,3,59,35848,1,0,1,0,0,0,0,0,1,1,0,63,207,5768,12,12,2,2,0,3,3,3,3,3,4,5,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
8165,1.0,0,72,51574,1,0,1,0,0,0,0,0,1,1,1,70,187,6608,11,8,3,2,0,2,3,3,2,3,3,4,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5877,1.0,0,70,35738,1,0,1,0,0,1,0,0,0,0,1,60,114,5511,10,14,1,0,0,3,3,4,3,4,3,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
7647,1.0,7,72,22300,0,0,1,1,0,0,1,0,0,0,1,41,157,3716,8,19,1,0,1,4,4,4,4,3,4,3,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2108,1.0,3,29,34098,0,1,1,1,0,0,0,0,1,0,0,6,137,978,7,13,0,0,0,3,4,4,2,4,2,3,3,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
4163,1.0,3,23,21308,0,0,1,0,0,1,0,0,0,0,1,10,114,1628,10,10,2,0,0,3,3,3,4,3,2,5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1590,1.0,1,63,37639,0,0,1,0,0,0,0,0,0,0,0,8,112,667,10,10,0,0,1,2,2,3,3,5,3,3,2,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
3244,1.0,3,29,20761,0,1,1,0,0,1,0,0,0,1,1,6,137,1037,6,9,1,0,0,4,3,4,3,4,2,3,4,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
6997,1.0,0,39,48646,1,0,1,1,0,1,0,1,0,1,1,68,214,6076,2,14,0,0,0,4,4,4,4,3,4,4,5,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
7669,1.0,2,44,6551,1,1,1,1,0,0,0,1,1,0,1,57,182,5139,10,11,0,0,1,5,4,5,5,3,5,6,5,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0
5264,1.0,1,40,8947,0,0,0,0,0,1,0,1,0,1,0,60,149,5278,9,14,2,0,1,3,4,4,4,3,3,4,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
4694,1.0,5,77,19315,1,0,1,0,0,0,0,1,0,0,1,8,124,835,8,14,0,0,0,6,6,5,4,3,5,5,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
4339,1.0,2,78,65564,1,0,1,0,0,1,0,0,1,1,1,13,230,1599,6,11,0,1,1,3,4,4,4,3,4,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
9568,1.0,2,63,15201,0,0,1,0,0,1,0,1,0,0,0,51,147,4424,7,15,2,1,0,4,3,4,3,3,4,4,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
1941,1.0,0,60,13719,1,0,1,1,1,0,0,0,1,0,1,9,152,1510,7,12,2,1,0,5,4,4,4,3,5,4,6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
6834,1.0,2,45,52440,1,0,1,1,1,1,1,0,1,0,0,62,187,6135,8,17,0,1,0,4,4,4,3,4,3,2,6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
3438,1.0,0,57,27127,0,1,1,0,0,1,0,0,1,1,0,11,210,1915,11,17,0,0,0,2,3,3,5,4,3,3,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
5486,1.0,3,52,39800,0,1,1,1,0,1,0,0,1,0,0,38,192,3601,14,16,3,0,0,3,3,1,2,3,3,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
616,1.0,0,51,27537,1,0,1,1,0,1,1,0,1,0,1,3,184,1138,5,16,2,1,0,2,3,3,2,6,2,2,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
9034,1.0,2,50,7977,0,0,1,1,0,0,0,1,0,1,0,49,159,4427,12,10,3,1,0,3,4,4,5,3,4,3,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
9086,1.0,1,58,24495,1,0,0,0,0,1,0,0,1,1,1,64,230,5890,8,14,1,0,0,5,5,4,2,3,4,5,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
9948,1.0,3,77,80021,1,1,1,1,1,1,1,0,1,0,0,64,207,5760,9,13,1,0,0,5,5,4,5,3,5,4,4,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0
2320,1.0,3,22,34628,0,0,1,0,0,0,1,0,0,1,1,12,159,1557,10,10,2,1,0,4,3,5,5,2,5,3,5,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
3168,1.0,2,40,70138,0,1,1,1,1,1,0,1,1,0,1,22,187,2796,6,13,0,0,1,3,3,3,5,3,3,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5548,1.0,2,78,43747,1,0,1,1,0,1,1,1,0,1,1,66,194,5863,11,12,0,0,0,4,3,3,3,3,3,3,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
8475,1.0,5,85,24029,0,0,1,1,1,1,1,1,1,0,1,71,219,6491,4,12,0,0,0,4,5,5,4,3,5,4,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2981,1.0,3,24,50965,1,1,1,1,0,0,1,1,1,1,0,2,245,1389,14,13,0,0,0,3,2,3,4,2,4,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9069,1.0,0,33,42921,1,1,1,1,0,0,1,0,1,1,0,66,252,6121,10,13,0,0,0,3,3,3,7,1,4,3,4,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2466,1.0,2,30,19498,0,0,1,0,0,0,1,0,1,0,0,16,129,2207,16,11,0,1,0,4,5,2,4,4,4,4,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
923,1.0,3,67,26659,0,0,1,1,0,1,0,1,1,0,0,5,204,876,3,11,2,0,0,2,3,3,3,4,2,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1
5087,1.0,0,71,17620,0,0,1,0,0,1,0,1,1,1,0,57,242,5241,9,9,2,0,1,4,4,4,4,4,3,4,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
964,1.0,3,29,88584,1,0,1,0,0,1,0,1,0,0,1,18,147,1738,7,16,0,0,0,5,3,4,5,2,5,3,3,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
6496,1.0,4,73,31717,1,1,1,0,0,0,0,0,0,1,0,57,114,4937,14,15,1,0,0,2,3,2,3,5,3,2,4,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
