Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,TimeZone_AST,TimeZone_CST,TimeZone_EST,TimeZone_HAST,TimeZone_MST,TimeZone_PST,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,const
2328,2,42,24372.17,8.613955,12,0,0,True,False,False,True,True,False,True,True,False,True,True,False,1.740144,242.6573,981.3822842,4,4,3,3,4,3,3,3,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,True,1
23787,2,45,32955.23,12.21135,14,2,1,False,False,True,True,True,False,False,True,True,False,False,False,1.312447,137.5165,342.5038822,4,4,4,2,5,3,4,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
2073,1,33,31292.07,18.11802,17,0,0,False,True,False,True,True,True,True,False,True,True,True,True,63.5434,277.6375,5991.45754,3,4,2,4,4,4,2,3,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,1
4269,6,61,37028.57,11.84676,11,1,2,False,True,True,True,False,False,True,False,False,False,True,False,68.55021,137.4616,6014.752174,2,2,2,3,3,4,3,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
3291,0,28,31654.75,5.064663,10,4,1,False,False,True,True,False,True,True,True,True,False,False,False,18.03946,142.5007,2214.155609,4,5,5,3,4,4,4,3,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,1
2029,0,34,20545.0,8.222102,14,1,0,False,False,False,True,False,False,False,True,False,True,True,False,4.254025,220.1323,939.0291358,5,4,3,3,3,3,3,5,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
2732,1,87,52639.57,10.21389,13,1,1,False,False,True,True,True,False,True,False,True,True,True,True,61.68428,255.1198,6000.369501,2,2,2,4,1,4,4,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1
5192,3,88,22428.12,7.176,14,2,1,True,False,False,True,False,True,True,False,True,False,False,False,4.143229,117.5015,558.6380046,3,3,3,3,4,2,3,3,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,1
925,2,64,17542.52,6.726676,9,0,0,False,True,False,True,True,False,True,True,True,False,True,False,9.938487,194.9992,1240.679237,5,4,4,5,3,5,5,3,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,1
658,3,53,38691.84,6.89303513,12,5,0,False,True,False,True,False,False,False,True,True,False,True,True,3.835182255,172.47417,641.4963126,2,3,3,4,4,3,4,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,1
38013,1,37,44792.39,8.625992,19,1,1,False,True,True,True,True,False,False,True,False,False,True,False,49.90782,159.9942,4475.105272,4,4,4,3,3,4,4,3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
1405,0,51,58555.84,11.86282,13,2,0,False,True,False,False,True,False,True,False,True,True,False,True,9.176772,184.9496,1523.800316,4,3,3,1,4,2,3,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,1
28221,6,82,10551.43,13.52236,13,2,0,False,False,False,True,True,False,True,False,True,False,False,True,59.78701,179.9656,5144.456729,4,3,5,3,4,5,3,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1
7875,3,80,105302.4,16.89322,12,0,0,False,False,False,True,False,False,True,False,False,False,True,False,10.92044,149.9378,1633.825007,4,5,4,3,4,3,4,5,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,1
7289,1,73,15679.34,8.840278,8,2,0,False,False,True,True,False,False,False,False,True,True,True,True,47.27475,200.1185,4746.697941,4,4,4,4,2,3,4,6,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,1
723,4,53,19974.83,11.81524,12,1,1,False,False,False,True,True,False,True,True,False,True,False,False,49.66569,172.4871,4672.338886,1,1,1,5,2,3,2,3,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,1
1512,1,84,37774.81,11.70582668,11,1,0,False,False,False,True,False,True,True,False,True,False,True,True,16.26037537,152.488401,1580.43019,5,5,5,4,4,4,4,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1
8377,2,53,160862.9,3.4579,11,1,2,False,True,False,True,True,False,True,False,False,True,False,True,63.28283,192.4404,5641.382534,5,4,4,3,3,5,5,4,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,1
30035,2,22,21395.1,12.17483,9,1,0,False,True,False,False,False,False,False,True,False,False,False,False,5.892496,124.9781,716.9177978,6,6,6,4,3,6,6,5,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,1
20696,4,66,15253.93,8.941096681,14,2,0,False,True,False,False,True,False,True,True,False,True,False,True,17.28022598,204.963371,1929.06738,3,4,4,3,4,3,4,4,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,1
18188,1,65,16403.11,4.312907,10,0,0,False,True,False,False,False,False,False,True,True,False,True,True,67.1217,172.4742,5808.42996,4,3,3,3,3,4,3,4,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,1
650,0,28,34629.11,12.56263,10,0,0,False,False,False,True,False,False,True,True,False,False,False,True,50.84495,147.4738,4495.259979,4,4,4,3,3,4,4,4,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,1
123,4,61,12170.42,8.968022,11,1,0,False,True,False,True,False,True,True,True,True,True,False,False,40.96005,155.0084,3893.3098,4,3,3,5,5,3,4,3,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,1
6432,6,82,26785.51,15.04983927,10,0,3,False,False,True,True,True,True,False,False,False,False,True,True,1.338441957,182.465269,491.8773506,5,4,6,3,3,5,4,3,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,1
2625,0,26,11476.29,9.656318,6,0,0,False,True,False,True,False,True,False,False,False,False,False,True,8.437873,82.49655,923.1400229,4,4,5,3,4,3,4,4,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,1
1706,0,84,27123.66,12.32696,13,1,0,True,True,True,True,False,True,True,True,True,False,True,True,69.36684,165.0113,5986.22023,3,3,4,4,3,5,5,4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
25086,1,44,79358.93,5.826774,8,0,1,False,False,False,True,False,False,True,False,False,False,False,True,17.55118,114.9509,1991.629188,2,4,3,5,4,4,3,3,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
3208,0,25,643.2,5.411723,8,2,0,False,False,False,True,False,False,False,False,False,True,True,False,64.08645,207.6094,5785.930696,6,4,5,3,4,6,5,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,1
3433,1,43,37327.76,11.42906,11,1,1,True,False,False,True,False,False,False,False,True,False,False,True,56.15392,124.9643,4737.057384,5,3,4,2,5,3,3,2,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,1
38865,2,82,24431.39,9.044468,16,2,0,True,True,False,True,True,False,False,True,True,True,False,True,1.794202,174.9768,917.029715,4,4,4,4,4,5,5,5,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,1
5642,4,70,38731.74,12.99932,9,0,0,False,False,True,True,False,False,True,False,False,True,False,True,16.25655,127.4586,1722.032536,2,3,2,3,3,2,2,3,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,1
212,8,67,16944.5,4.407474,18,1,1,False,True,False,True,True,False,False,False,True,True,True,True,11.61721,252.624,1671.56323,4,3,3,4,2,3,5,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,1
24438,4,55,16526.81,10.86355397,12,2,0,False,False,False,True,False,False,False,True,False,True,False,True,1.355493769,117.485813,541.4070913,5,4,4,3,4,5,4,6,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,1
36260,7,76,91335.76,12.01267388,11,1,0,False,False,False,True,False,True,True,True,True,False,False,True,2.416685985,142.500692,1078.291303,3,4,4,2,5,4,3,4,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,1
3078,1,80,53461.96,7.629733,16,1,1,True,True,True,True,False,False,True,True,True,False,True,True,9.074838,194.9699,1097.005959,4,3,3,4,2,3,4,4,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,1
6161,10,86,10803.89,10.47394,10,0,1,False,True,False,True,False,False,True,False,False,True,False,False,49.50534,127.4586,4531.562513,4,3,3,4,4,3,2,3,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1
2498,1,49,10317.99,14.34662,14,0,0,False,True,True,True,True,False,False,True,True,False,True,False,60.74786,184.9797,5741.788806,5,6,5,4,4,5,4,3,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,1
471,1,44,29579.69,4.708283677,11,1,0,False,True,False,True,True,False,True,False,False,False,True,True,10.16298067,202.443347,1204.39272,4,4,4,4,3,3,5,4,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,1
23370,3,79,5694.61,7.094794839,10,1,0,True,False,True,True,False,True,False,True,True,False,True,False,6.051428262,154.991856,1226.543716,2,1,3,3,3,3,1,2,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
801,2,89,27157.3,13.14802,20,1,0,False,False,False,True,False,True,True,False,True,False,True,True,7.311512,184.9647,943.8571029,5,3,6,4,3,4,5,3,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,1
148,4,37,67068.72,11.52123,18,1,0,False,True,False,False,False,False,False,False,True,False,True,True,62.70815,127.475,5463.517233,5,4,3,4,5,2,2,4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,1
4300,1,75,24385.38,11.77549,11,1,0,False,False,False,True,True,False,True,True,True,True,True,False,1.743805,255.1665,847.0257353,5,6,5,2,3,3,3,3,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,1
430,1,35,52728.01,9.491553,13,2,0,True,False,True,True,True,False,True,False,False,False,False,True,4.767276,147.4564,1045.602146,4,3,3,4,5,4,3,4,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,1
17389,0,85,15433.62,13.41929614,12,2,0,False,False,False,True,True,False,False,False,False,False,False,False,7.321650003,112.484375,552.7011071,3,3,3,4,4,4,3,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,1
88349,1,29,21897.41,13.1215267,10,0,0,True,False,True,False,True,False,False,True,False,True,False,True,1.171557288,182.467607,544.12326,2,3,4,5,2,5,5,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1
0,2,67,24367.72,11.56322,12,1,0,False,False,False,True,False,True,False,False,False,False,True,True,51.22665,129.9598,4847.193795,3,3,2,3,4,2,2,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1
6042,0,19,9545.58,7.846044789,10,0,0,False,False,False,True,True,False,True,False,False,True,False,False,4.30774917,192.440432,811.9419618,4,4,4,2,3,4,3,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
9124,1,23,13419.4,4.457169,11,2,1,True,True,True,True,True,False,False,False,True,True,True,True,70.54929,232.624,6842.591894,5,5,4,4,4,6,4,5,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1
12705,0,18,29267.03,11.83986,12,0,1,False,True,False,True,False,True,True,False,True,True,False,True,60.50817,174.9618,5474.791065,4,2,5,6,3,3,4,6,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,1
8368,0,29,41658.22,12.06193,10,0,0,False,True,False,True,True,False,False,True,False,False,False,False,23.9038,137.4836,2593.650846,3,4,5,3,4,4,4,4,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1
1827,3,24,15091.63,6.649137,13,1,0,False,False,True,True,False,True,False,True,True,True,False,True,8.824037,144.9889,1670.183322,3,3,3,3,5,3,3,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
102,5,71,82960.42,9.885701354,5,0,1,True,True,True,True,False,True,False,False,True,False,False,False,4.589210527,95.005709,618.4967851,3,3,4,2,3,3,3,4,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,1
390,0,55,25532.76,15.15802,12,0,3,False,True,False,True,False,False,False,True,True,True,False,False,66.21435,129.995,5689.932511,2,2,4,4,3,4,2,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,1
11499,8,24,14083.69,12.19579,15,1,0,False,True,False,True,False,False,True,True,True,True,False,False,66.89524,184.967,6234.682273,4,4,5,3,4,2,5,3,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,1
821,0,52,36240.81,9.173739977,14,0,1,False,True,True,True,False,True,False,True,True,False,False,False,4.171044392,120.004928,991.2441024,4,4,5,3,3,4,4,5,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,1
138,2,63,39569.78,9.333686,14,0,1,False,True,False,True,False,True,False,True,False,False,False,True,54.07728,95.01949,4605.854101,3,2,2,4,4,3,5,4,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,1
17007,0,68,122263.81,14.91100172,15,2,0,False,False,True,True,False,False,False,True,True,True,False,False,7.825845378,162.471255,863.0820861,5,2,4,3,3,4,3,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,1
581,3,89,28391.83,20.62504,13,0,1,False,False,False,True,True,False,False,True,True,False,True,True,62.27986,172.5034,5384.246623,4,4,4,2,3,2,4,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,1
369,7,74,14744.58,14.67896,13,1,0,False,False,True,False,False,False,True,False,True,True,False,True,64.11549,152.4441,6093.493249,3,4,4,3,4,3,3,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
1478,3,24,69237.04,1.556784,9,1,2,True,False,False,True,False,False,False,True,False,True,False,True,7.994351,129.9621,1522.674203,1,2,3,5,4,3,3,4,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
4308,2,81,18531.6,11.8535,13,0,1,False,False,False,False,False,True,True,False,True,False,True,False,41.84938,184.9647,3717.758451,3,3,2,3,4,3,2,2,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,1
31790,2,51,17715.03,7.333757,12,3,1,False,False,True,True,True,False,False,False,False,True,True,False,52.9098,240.1149,4918.416016,3,2,3,4,3,2,6,4,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,1
1044,2,58,46775.2,5.645543,12,0,0,False,False,False,False,False,True,True,True,False,False,False,False,23.59578,129.9915,2632.143148,1,1,1,3,5,1,2,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1
208,1,56,25777.88,14.67675595,13,2,0,False,True,False,True,False,False,False,True,True,True,True,True,2.066037377,232.641455,769.7818684,3,3,3,4,4,2,3,4,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,1
347,1,56,52119.38,4.493677,12,0,0,False,True,False,True,True,False,False,False,False,True,False,True,52.59552,149.9447,4997.517022,2,2,3,4,2,3,3,3,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1
14472,7,56,6225.4,14.13784,10,0,1,False,False,False,True,False,False,False,False,False,True,False,False,15.14561,104.9629,1628.215009,4,4,4,1,5,3,4,3,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,1
7762,0,47,55327.65,9.483539,10,0,0,False,False,True,True,True,False,True,False,False,False,False,False,69.05527,147.4564,6243.093544,3,3,3,3,4,2,2,4,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1
22744,1,40,115239.5,8.77415,17,0,0,False,True,True,True,False,False,True,False,False,False,False,True,48.95286,102.4746,4246.521336,3,3,4,3,3,3,3,2,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,1
17356,4,45,19623.2,8.688645,9,4,0,False,False,False,True,True,False,True,False,False,False,False,False,9.05217,167.4564,1042.770459,4,4,4,4,2,4,4,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,1
1394,0,22,21413.24,9.757323,9,1,0,True,False,False,True,True,True,True,False,True,True,True,False,6.422331,277.6375,1316.360571,3,3,4,3,4,2,3,3,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,1
1641,3,52,38311.94,12.1362412,11,2,1,False,False,False,True,False,False,True,False,False,True,False,False,11.70347852,139.934918,1790.688379,3,3,2,4,4,2,2,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
31371,1,47,46701.02,6.071604,21,1,0,False,True,False,True,True,True,False,False,False,True,True,True,43.2487,242.6326,4231.393427,3,3,3,4,5,3,3,3,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,1
198,1,78,10767.15,14.57387887,13,0,0,False,True,False,True,True,True,True,True,True,False,True,True,2.411712843,197.516854,704.7552669,3,3,4,4,2,3,3,4,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,1
471,4,44,36699.84,9.435961177,9,1,0,False,False,False,True,False,True,True,True,False,True,True,True,24.39432985,245.145743,2895.881802,4,5,5,4,3,5,4,5,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True,1
259,3,88,55271.5,11.07053,18,1,0,False,True,True,True,False,False,True,False,True,False,False,False,4.278123,147.4601,412.2016012,4,5,4,3,4,4,5,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1
2128,0,73,79846.11,9.594627,9,0,1,True,False,True,True,True,False,False,False,False,True,True,True,60.91248,240.1149,5487.492711,3,4,3,1,3,3,3,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,1
2649,1,39,119599.4,4.876124,9,2,0,True,True,False,True,False,True,True,True,False,False,True,False,38.92029,184.9785,3747.78242,2,3,3,4,3,3,4,2,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,1
320,2,24,60326.6,7.451031,14,1,0,True,True,False,False,False,False,False,True,False,True,False,True,7.560138,129.9621,1503.364958,5,4,4,3,5,3,2,4,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,1
9560,3,35,37955.41,4.545091,12,2,1,True,False,False,True,True,False,True,True,True,False,False,True,54.63591,192.4885,4951.560917,2,3,3,3,4,3,1,2,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,1
121,1,57,27832.81,10.41254,10,0,1,False,False,True,True,False,False,True,True,True,True,True,True,69.91714,222.6609,6373.012781,4,3,4,4,4,4,3,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,1
559,3,19,41311.01,6.680449508,7,1,0,False,False,True,False,True,True,False,False,False,True,True,False,4.06047424,210.156274,1173.76564,1,1,2,6,2,4,2,4,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,1
260,1,62,35176.64,12.05975,14,0,0,False,False,True,True,True,True,False,False,True,True,False,False,70.82444,164.9715,6551.009938,2,2,2,4,2,2,4,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
3155,1,46,38631.12,11.1218,7,2,0,False,False,True,True,False,False,True,False,False,False,True,True,53.98876,169.9378,4716.874438,4,2,3,5,2,5,3,4,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1
39,1,89,28658.87,13.26656,4,4,1,False,False,False,True,False,False,True,False,False,False,True,True,70.77468,169.9378,6033.581345,2,3,2,2,4,2,2,3,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,1
3543,2,57,40460.35,13.32211645,15,0,0,False,False,False,True,True,False,False,False,True,True,True,True,9.195415365,252.62403,1321.204826,3,4,2,3,5,4,3,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
3843,2,81,37495.26,11.54768,16,0,1,False,False,True,False,True,False,False,True,True,True,False,False,45.12287,194.9768,4010.017445,4,3,4,2,5,3,3,3,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,1
7883,0,57,42113.2,12.12624,8,2,0,False,True,False,True,True,False,False,False,True,False,True,True,55.63584,172.4567,5180.761441,5,4,5,4,3,3,3,3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,1
18914,0,27,70082.37,6.41607,11,2,0,False,True,True,True,False,False,True,False,True,True,False,True,71.12356,139.9678,6239.882195,4,3,4,4,3,3,3,4,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,1
475,3,22,37622.41,12.27167,10,0,1,False,True,False,True,True,False,False,True,True,True,False,False,12.57306,194.9768,1614.234523,4,4,4,2,5,2,2,4,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,1
5055,0,19,86396.3,12.232234,17,0,0,False,True,True,True,True,True,False,False,False,False,False,True,7.904120653,115.002061,892.0207872,1,1,3,3,2,3,3,5,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,1
9916,2,46,19080.13,11.02448303,12,0,0,False,False,True,True,False,False,True,False,False,True,True,False,20.16532013,210.105118,2734.384392,3,4,3,4,4,3,3,4,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
1488,0,75,12035.92,11.25394,21,0,0,False,True,False,True,True,True,True,False,False,True,False,False,69.1503,174.9581,6477.148408,2,2,3,3,4,2,3,2,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,1
18937,1,39,38306.27,16.75470959,10,0,0,False,True,False,True,True,False,True,True,False,False,True,True,11.32652677,194.966286,1897.050575,2,2,2,4,2,3,2,3,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,1
1741,3,32,41207.42,9.044706,13,1,0,False,True,False,True,True,False,False,False,True,True,False,True,17.95045,162.4538,2303.354723,4,3,5,3,3,4,4,4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1
650,1,54,40958.69,7.409574,7,0,2,False,False,False,True,True,False,False,True,True,True,False,True,44.15083,162.5005,3988.109354,4,3,3,2,5,3,4,4,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,1
8834,0,64,15719.1,8.301488,15,2,1,False,True,False,True,True,False,False,False,True,False,True,False,4.245048,172.4567,946.9600501,4,4,4,4,1,6,4,5,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1
1782,0,49,73198.38,11.98358,13,0,1,False,True,False,False,True,True,True,False,False,True,True,False,42.47836,265.1283,4224.921196,5,5,4,2,5,5,5,4,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,1
