Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,TimeZone_AST,TimeZone_CST,TimeZone_EST,TimeZone_HAST,TimeZone_MST,TimeZone_PST,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
105,5,18,72563.64,9.492638901,15,0,1,False,False,False,False,True,False,False,False,False,True,True,False,7.080759052,240.114868,1363.832113,4,3,4,4,2,4,2,2,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
105,3,75,13363.47,12.54776,11,3,0,False,False,True,True,False,True,True,False,False,False,True,False,67.22133,152.4555,6338.594614,4,5,4,3,3,4,3,4,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
2123,1,72,50336.5,7.972937227,10,1,1,False,True,False,True,False,False,True,True,False,False,False,False,16.04202196,147.473844,1530.10769,3,4,3,6,4,4,6,2,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
690,1,58,20474.19,10.46793,15,3,0,True,False,True,True,True,True,True,False,True,False,True,True,3.876069,197.4702,1218.662597,3,3,4,4,3,3,4,3,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True
7190,2,53,44295.41,9.984016,13,1,1,True,True,True,True,True,False,False,False,False,False,False,False,4.597088,124.9607,909.4363783,4,4,4,6,2,5,4,3,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
18937,1,39,38306.27,16.75470959,10,0,0,False,True,False,True,True,False,True,True,False,False,True,True,11.32652677,194.966286,1897.050575,2,2,2,4,2,3,2,3,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
13587,2,53,34994.57,7.96371,10,1,1,True,False,True,True,True,False,False,True,True,True,False,True,12.69435,194.9768,1444.696816,4,5,5,4,3,4,4,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
20300,0,37,19168.31,9.946962,11,1,0,False,True,False,True,True,False,True,True,True,False,True,True,4.926111,227.4754,856.9298283,3,3,3,5,2,4,4,2,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
12908,1,55,12702.36,10.71778,14,2,0,False,True,True,True,False,True,False,True,True,True,False,False,54.36032,132.5127,4871.680899,4,4,4,3,5,5,4,4,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
9144,0,54,40257.26,11.06218,14,0,0,False,False,False,True,False,True,True,False,True,True,True,True,19.01406,245.132,2171.232828,4,4,3,1,5,2,3,3,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
4839,1,52,28613.3,11.51231,20,1,1,False,True,True,True,False,False,True,False,True,True,True,True,55.39854,242.6143,5114.637099,4,3,3,5,1,3,5,4,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
801,2,89,27157.3,13.14802,20,1,0,False,False,False,True,False,True,True,False,True,False,True,True,7.311512,184.9647,943.8571029,5,3,6,4,3,4,5,3,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
1444,1,79,12434.17,8.820682,15,0,0,False,False,False,True,True,True,False,False,False,True,True,True,47.40865,210.1563,4467.334158,4,3,4,4,2,5,3,3,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
9924,3,54,43618.17,8.917382,14,1,0,False,False,True,True,True,False,False,True,False,True,True,True,7.72199,252.6378,1282.858382,4,4,4,4,3,5,4,4,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False
2916,0,85,45028.35,9.122923,16,1,0,False,True,False,False,True,False,False,False,False,False,True,True,42.2544,159.9476,4070.475421,3,3,3,3,3,5,3,4,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
7552,2,62,20613.16,6.252401,13,1,0,True,True,False,True,False,True,False,False,True,True,False,False,2.917886,132.466,945.7273128,3,3,1,5,3,2,3,4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
15226,2,88,40879.22,10.82274,19,1,0,False,False,True,True,False,False,False,False,False,False,False,True,10.48608,112.4551,874.0562063,3,4,3,3,4,3,4,3,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False
30196,2,73,58997.61,6.783649349,7,0,1,False,True,False,True,False,False,True,True,False,True,False,True,13.66699636,172.457857,1523.590353,3,3,3,4,4,3,3,3,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False
723,8,83,30885.95,7.30183,14,3,1,False,False,False,True,False,True,True,True,False,False,True,True,63.83787,164.9785,6274.202037,2,2,5,2,3,3,4,4,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
4046,4,52,67205.55,7.717303,10,0,0,False,False,False,True,False,True,False,True,False,False,True,True,42.25776,142.4827,4390.483323,3,4,4,2,3,3,2,3,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1800,2,56,12154.01,14.60903837,11,0,2,False,False,True,True,True,False,True,False,True,True,False,True,13.08671185,172.473314,1436.793746,4,4,3,3,5,3,2,2,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
86,0,21,43889.69,8.332567184,14,1,0,False,True,False,False,False,True,True,False,False,True,False,True,9.141192423,129.976324,1204.678983,4,5,5,5,4,4,3,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
30762,10,88,1469.25,6.91129,14,2,0,False,True,False,True,True,False,False,False,True,False,True,False,39.27244,172.4567,4046.188443,3,3,3,3,4,3,2,4,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
4634,0,81,58049.87,12.01958,8,0,0,False,True,True,True,True,True,False,False,False,True,False,True,1.835564,172.4624,387.3140839,4,4,4,3,3,5,4,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
898,1,63,13223.66,7.953802,11,1,0,False,False,False,True,False,False,False,True,False,True,False,True,51.25081,149.9621,4511.138449,4,3,4,3,4,4,2,4,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
3006,2,76,27737.13,9.054841,15,0,0,False,False,False,False,False,False,False,True,True,True,True,True,45.16619,212.6415,4680.021701,3,3,3,2,5,3,3,4,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
7617,8,36,56815.09,13.01529,10,3,1,False,False,False,True,True,False,False,False,False,False,True,True,16.48485,179.9476,1952.410832,2,3,2,3,3,3,3,3,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
1092,3,66,6649.53,5.254926,11,1,0,False,True,False,True,False,True,True,True,False,False,False,True,66.61872,149.9915,5830.697844,4,3,5,5,1,5,5,6,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False
6138,2,77,36678.72,10.35866414,4,0,0,False,True,True,True,False,False,True,False,True,True,False,False,28.86969715,152.44408,3088.823891,3,3,5,4,2,4,3,3,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False
6108,1,62,22267.09,9.686691,13,0,0,False,True,True,True,True,False,False,True,False,False,False,True,10.8378,125.0073,1114.43184,2,2,2,5,4,3,3,2,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True
4242,4,42,29125.59,13.03944,9,1,0,False,False,True,True,False,True,True,True,False,True,False,True,8.387102,174.9755,1282.323667,3,3,3,2,4,3,3,5,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False
7354,4,31,34512.65,20.30462,19,1,1,False,False,False,False,True,False,False,False,False,False,False,True,11.16076,124.9607,1663.235204,4,4,4,4,3,3,2,2,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
360,2,30,71002.71,9.994273,15,0,1,False,True,False,True,True,False,True,True,False,False,False,True,63.89833,159.9794,6105.282771,3,4,4,5,2,4,5,5,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
1875,4,19,38914.23,8.850529612,15,2,0,True,True,False,True,True,False,False,False,False,False,True,False,8.137267032,179.947583,1118.73994,4,4,3,3,5,3,3,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
227,1,78,53158.49,10.79807,12,1,0,False,True,False,True,False,True,True,False,False,True,True,True,68.69095,232.6228,6189.424043,5,4,4,3,4,4,5,5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
4993,1,25,47027.73,10.92999,11,1,1,False,True,False,True,True,False,True,False,True,False,True,True,71.6524,214.9525,6309.319991,3,4,3,3,4,4,4,1,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
7278,1,34,76063.08,9.885262,14,1,1,False,True,True,True,False,False,False,False,False,True,False,False,11.42056,117.4392,1623.908651,6,6,5,3,3,5,4,5,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
186,0,38,21939.65,12.72643,8,2,0,False,True,False,True,True,False,True,False,True,True,True,True,66.42219,242.6435,6104.958036,4,3,2,3,2,3,3,4,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
1909,4,39,21128.1,10.28840622,13,0,0,False,True,False,True,False,True,False,True,False,True,True,True,27.46106977,222.649979,3069.566918,5,5,4,4,3,4,4,4,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False
11272,2,85,32092.18,9.357409,18,2,0,False,False,True,True,True,False,True,False,False,True,False,False,65.02121,172.4404,6092.399467,4,4,4,6,3,3,3,5,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False
3302,0,64,14746.24,13.24212,11,0,0,True,False,True,True,False,True,False,False,False,False,False,True,34.49234,94.97283,3346.893074,4,4,4,3,4,5,5,3,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
21111,4,62,36139.18,6.147368,13,0,2,False,False,False,True,True,True,True,True,False,True,True,True,44.99139,257.6513,5009.989918,2,4,4,3,5,3,3,3,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
16882,0,63,19297.41,8.97627,12,2,0,False,False,True,True,True,True,False,False,True,False,True,False,7.713222,162.4982,978.4083285,5,3,3,4,2,3,4,3,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
5346,4,54,16577.49,11.40334,14,1,0,False,True,False,True,True,True,True,True,False,True,False,False,14.24378,187.4811,2255.363032,4,4,3,3,5,4,3,4,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
7511,0,80,14433.56,8.733939,12,1,0,False,True,False,True,True,False,True,False,True,True,True,True,13.46637,255.1198,2088.717973,2,3,3,3,4,1,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
687,1,71,31172.22,11.31757,12,1,0,False,False,False,True,True,True,False,False,False,True,True,False,69.91998,242.6326,6291.039364,4,5,5,5,1,4,4,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
4832,0,60,27715.71,7.901381,11,1,0,False,True,False,False,False,False,True,True,False,False,False,False,55.591,127.4738,5192.718983,4,4,4,4,3,5,4,4,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
1111,1,63,8460.1,4.95574,13,0,1,False,True,False,True,True,False,True,False,False,True,True,False,62.281,242.6106,6123.627846,3,3,5,2,3,4,4,6,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
104,0,20,8985.14,14.48734,10,0,2,False,True,False,True,False,False,True,True,True,True,True,False,63.07037,235.1372,6316.02224,2,4,2,4,3,4,4,3,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
15477,4,63,32525.69,3.712647,10,2,1,True,True,False,True,True,False,True,True,False,True,True,True,66.46538,275.1336,6277.545967,3,3,2,3,5,3,2,2,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False
10148,1,82,63225.56,10.67873215,10,0,1,False,True,True,True,True,False,True,True,False,True,False,True,13.0035986,172.487091,1480.891431,3,3,3,2,4,3,2,4,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False
22356,1,58,39653.88,14.70902,11,4,0,False,True,False,True,True,True,False,True,True,False,False,True,7.194486,172.5104,826.2618071,3,3,3,5,2,3,3,4,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
10211,4,30,63208.86,14.14302,10,3,0,False,True,True,True,False,True,True,True,False,True,True,True,3.924965,245.1457,1217.513281,3,3,3,4,3,4,4,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
1410,1,88,33217.6,10.0409,7,2,0,False,True,False,True,False,True,False,True,False,False,False,True,61.88298,127.4958,5132.685447,5,4,4,5,2,4,5,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
4298,3,73,19839.22,8.779628,10,1,0,False,True,False,False,True,True,False,True,True,False,False,False,71.4622,172.5104,6104.609294,4,4,5,3,4,2,3,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
1056,0,57,19198.61,10.63248,13,1,0,False,True,False,True,False,False,False,True,True,True,False,False,65.25688,162.4713,5651.976417,1,1,1,4,3,3,3,4,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True
4286,0,18,87721.54,3.185678,8,0,1,False,True,False,False,False,True,False,True,False,True,False,True,71.23368,120.0035,6293.395149,2,2,4,3,5,2,2,2,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
1108,1,46,12366.21,11.42897436,12,0,0,False,False,False,True,False,False,True,False,True,True,False,True,7.603357235,172.44408,1003.664665,3,4,3,3,3,5,4,5,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
63,3,47,68898.0,4.46616,16,0,2,False,False,False,True,False,False,False,False,True,False,False,True,60.46946,104.9643,5552.61263,5,3,4,3,3,3,3,4,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
3558,1,45,24074.11,10.72033,5,1,0,False,False,False,True,True,False,False,True,False,False,False,False,20.16597,157.4836,1934.499334,4,4,4,4,2,4,4,2,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True
14684,0,21,25888.53,5.448102,12,1,0,False,False,True,True,True,True,True,False,False,False,False,True,60.95525,149.9741,5739.842827,3,4,3,5,4,3,3,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
14723,0,32,37628.81,15.05826,11,2,0,False,True,False,True,False,False,True,False,False,False,True,True,71.39564,149.9378,6571.767003,2,1,2,3,4,2,1,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
3866,3,58,64117.45,10.7445,8,0,0,False,True,False,True,True,False,False,False,False,False,True,True,1.230987,147.4713,394.202773,4,6,4,3,4,5,4,5,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
26057,4,81,1441.97,11.28908676,7,0,1,False,False,False,True,True,True,False,False,False,False,False,True,8.006997906,127.478341,1233.807825,4,3,4,3,3,4,4,4,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
30274,0,67,27898.0,9.538151,10,1,0,True,False,True,True,False,False,True,True,False,True,True,False,66.01153,222.6281,6398.595369,3,3,3,3,5,3,4,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
1705,0,38,22649.13,12.02212,12,1,0,True,False,True,True,True,True,True,True,False,True,False,True,64.63082,187.4811,6313.28774,3,3,3,5,3,3,5,4,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False
