,Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Area_Suburban,Area_Urban,TimeZone_AST,TimeZone_CST,TimeZone_EST,TimeZone_HAST,TimeZone_MST,TimeZone_PST,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
10,555,7,23,22580.7,False,9.341631685,9,0,2,False,False,False,True,True,True,True,False,False,True,False,False,19.26726194,174.958118,2728.767869,4,4,4,7,3,3,3,4,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
11,33372,2,56,18342.12,False,6.68082638,17,1,1,False,True,False,True,False,False,False,True,False,True,False,False,10.52199781,149.962093,1180.588788,4,4,3,4,4,4,3,4,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
12,556,0,83,83671.08,False,8.273875452,9,0,0,False,True,False,True,False,False,False,False,False,True,False,False,13.01149229,137.439154,1196.388018,1,2,1,4,3,2,3,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
13,0,5,29,115114.57,False,5.880565591,14,1,0,False,True,True,True,True,True,False,False,True,True,False,True,16.87922024,184.971516,1948.694497,5,6,5,2,4,5,4,4,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
14,8165,1,30,64256.81,True,11.79073041,10,3,0,False,False,False,False,True,False,True,False,True,False,False,True,10.06019902,159.965581,1582.295235,3,3,4,2,3,4,4,2,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
15,2093,3,39,89061.45,True,10.79846973,13,1,0,False,False,False,True,False,True,False,False,False,True,True,True,13.87001293,177.65076,1840.014467,3,3,3,2,4,3,5,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
16,50079,0,63,31659.3,True,13.52284721,13,1,0,False,True,False,True,True,False,True,True,False,False,True,True,15.78214958,194.966286,2070.376729,3,4,4,3,5,4,4,3,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
17,7249,2,60,44142.81,True,9.831166695,16,3,0,False,False,False,True,False,True,False,True,True,True,True,False,2.303331273,202.682861,882.0985933,2,2,4,3,3,4,3,3,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True
18,9463,3,61,39262.14,False,9.57470568,11,1,0,True,True,False,True,False,False,True,True,True,True,False,True,17.10995632,152.490739,1833.0967,3,4,3,4,3,2,3,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
19,3177,3,23,19494.75,True,10.92246098,10,1,0,False,True,False,True,True,False,False,False,False,True,False,True,12.80615845,149.944668,1954.080809,5,5,5,4,4,4,3,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
20,69,4,38,39624.21,False,12.06889188,14,0,3,False,False,False,True,False,True,True,True,False,False,True,True,20.45390977,184.978458,2330.319383,2,3,3,2,4,2,3,3,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
21,14440,3,30,45714.47,False,6.984819996,18,1,0,False,False,True,True,False,True,False,True,False,False,False,False,2.415991977,127.495766,594.1054279,5,5,4,4,3,4,3,5,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
22,381,3,52,27442.03,False,9.372975594,16,1,1,False,False,False,True,False,False,False,False,True,False,False,True,6.652298992,124.964303,713.0633088,3,3,3,2,2,3,5,5,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False
23,2193,2,68,79699.62,False,7.109002592,9,0,0,False,True,False,True,False,False,False,False,True,True,False,True,8.543717478,149.948316,945.3802928,4,4,3,5,3,4,4,3,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False
24,9434,3,75,28520.32,True,13.74777955,15,1,0,False,False,True,True,True,True,False,True,False,False,True,False,5.770390256,162.511928,870.76398,3,3,4,2,4,4,3,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
25,29568,1,77,12558.83,True,9.767668044,12,1,0,False,False,True,True,False,False,False,False,False,False,False,False,4.157658837,92.455141,774.2937069,4,4,4,4,2,4,5,5,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
26,3089,1,47,8762.23,True,15.8626095,15,0,1,False,True,False,True,False,True,False,True,False,True,True,False,10.40566091,222.649979,1506.446527,5,3,5,3,3,5,4,4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
27,5652,0,70,43882.72,True,14.73616645,12,0,0,False,True,False,True,False,False,True,True,False,True,False,True,1.392421597,139.981577,419.0508708,2,2,3,4,4,2,2,2,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
28,1716,3,20,10482.52,True,13.43558029,13,2,0,True,False,False,True,False,False,False,True,False,True,True,False,1.430386349,200.132293,1259.415493,3,4,3,3,2,4,4,2,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
29,52484,4,69,33442.79,True,10.61771118,18,1,0,False,False,True,True,True,True,True,True,False,True,True,True,5.425864884,257.651257,1745.125956,4,4,4,3,2,5,5,4,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
30,11268,9,45,43383.54,False,6.613070806,14,0,0,False,True,False,False,False,False,True,False,False,True,True,True,11.08287797,230.105118,1795.465729,3,2,1,5,3,3,3,2,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False
31,1765,0,40,21793.88,False,4.450171647,13,2,0,False,False,True,True,True,False,True,False,True,False,False,False,3.586184954,147.489301,492.4771472,2,3,4,3,3,2,4,3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
32,680,6,82,51960.51,True,8.774646693,9,0,0,False,True,True,True,False,False,True,False,False,True,True,True,4.727388465,230.105118,1013.993166,4,4,4,5,2,5,3,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
33,136,5,74,25942.1,True,11.13156721,8,1,1,False,False,False,True,True,True,True,False,False,True,False,False,20.89923386,174.958118,2680.762173,5,5,4,3,5,3,4,1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
34,1517,4,69,11211.59,True,5.540788887,15,1,0,False,True,False,True,True,True,False,True,True,True,True,False,3.471329958,267.664655,1081.814362,6,5,5,5,2,6,5,5,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,True
35,14103,1,52,8283.29,True,13.80362698,11,0,1,False,True,False,True,True,True,True,False,True,False,False,True,5.478588204,162.483267,1209.961168,4,2,3,4,3,3,4,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
36,6394,2,26,10114.81,True,16.31017089,16,1,1,False,True,False,True,True,True,True,True,True,False,True,True,3.312991809,229.993134,897.5919144,4,3,5,5,2,4,5,5,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
37,5059,1,25,36229.21,False,9.447065309,9,2,0,False,True,True,True,True,True,False,True,False,False,False,True,7.161561527,140.00128,1340.930156,5,6,4,2,5,3,3,3,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
38,20450,1,66,25397.44,False,16.84100845,12,1,0,False,True,False,True,False,True,True,False,True,False,True,False,9.847563364,184.964681,1113.993679,4,4,3,4,2,4,4,5,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
39,2123,1,72,50336.5,False,7.972937227,10,1,1,False,True,False,True,False,False,True,True,False,False,False,False,16.04202196,147.473844,1530.10769,3,4,3,6,4,4,6,2,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
40,1164,3,21,38211.37,False,11.42906608,12,1,0,False,False,False,True,False,False,True,True,False,True,False,True,9.179779682,172.457857,1310.137419,5,2,3,3,3,5,4,4,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
41,23,3,55,52887.26,False,8.06137096,16,2,0,False,True,False,True,False,True,False,False,True,False,False,True,3.002844144,107.481989,892.8964931,3,3,2,3,5,4,3,3,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
42,895,4,41,12003.33,True,12.54780492,11,1,2,False,True,False,True,True,True,False,False,True,True,True,False,3.924254455,255.141716,1125.581944,3,3,3,5,1,4,3,4,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False
43,6699,4,32,24090.62,False,8.255565152,13,0,0,False,True,True,True,True,False,False,False,True,False,True,True,18.55959629,192.456745,2016.710031,3,3,3,3,4,3,3,4,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False
44,35743,0,22,15137.93,True,13.156514,6,0,0,False,True,False,True,True,True,False,False,False,True,True,True,8.798394712,242.632554,1412.736809,4,4,4,4,3,4,3,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
45,320,2,44,54458.38,True,10.58349704,5,1,0,False,True,True,True,True,True,True,True,False,True,True,True,10.377366,245.174977,1710.689671,3,3,2,2,4,3,5,2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
46,7870,2,23,132116.33,True,12.50184778,11,1,0,False,True,False,True,False,True,True,False,True,False,True,True,22.25746016,184.964681,2384.885909,4,4,5,2,2,4,3,3,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
47,861,3,43,37358.13,True,9.750038902,11,1,0,True,False,False,True,True,True,True,True,True,False,False,True,9.427146079,195.006206,1213.940165,4,5,3,4,3,3,4,3,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
48,15364,1,86,26534.16,False,7.868660851,11,2,2,False,True,False,True,False,False,False,False,False,True,False,False,7.760290062,104.962874,740.010722,3,4,3,2,3,3,3,3,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
49,2589,2,84,76430.83,False,12.43563329,14,0,1,False,False,True,True,False,False,False,False,True,False,False,True,11.56938439,92.488023,897.9716153,3,3,4,3,5,3,3,4,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
50,4901,2,62,4662.37,True,8.957166926,13,3,0,False,True,False,True,True,False,False,True,True,False,True,False,3.343811019,184.979684,1026.387172,2,2,3,4,3,5,2,4,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
51,39649,5,68,43820.85,True,8.015021713,12,1,0,False,True,False,True,False,False,False,True,False,True,True,True,7.338869531,187.656013,1234.244324,2,3,3,5,4,2,3,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
52,456,1,59,38391.55,False,4.210347704,8,0,0,False,False,False,True,False,False,False,True,False,True,False,True,5.486534225,149.962093,727.3731845,4,4,4,3,4,2,5,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
53,94,0,31,44137.6,True,11.13960534,6,0,0,True,False,False,True,True,False,False,False,False,True,False,True,1.55278221,169.944668,452.8721504,4,4,3,4,4,4,2,3,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
54,315,0,51,14364.65,True,9.03738856,11,2,0,False,True,False,True,True,True,False,True,False,False,False,True,12.07970325,160.00128,1296.674543,4,2,4,5,4,3,3,4,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
55,4969,1,58,62359.91,False,10.91594785,11,1,1,False,False,False,True,False,False,False,True,False,True,False,False,13.98666226,129.962093,1840.628269,3,4,3,6,3,4,5,3,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
56,46869,1,73,82634.86,True,8.387624096,11,0,1,False,False,False,True,False,False,True,False,False,False,False,True,9.563362997,114.950905,1324.330108,5,4,3,5,3,3,5,4,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
57,58431,1,33,15690.25,False,11.4487514,11,0,1,False,False,False,True,False,True,False,True,True,False,True,True,6.732948946,142.515576,958.1397059,4,5,5,5,4,4,4,5,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
58,26182,1,58,14568.7,True,10.22013704,15,2,0,False,True,False,True,True,False,False,False,True,True,True,True,15.72071086,220.14775,1868.864027,3,5,3,2,4,5,5,4,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False
59,694,0,49,29207.46,False,8.425458142,9,1,0,False,False,False,True,False,False,False,True,False,False,False,True,7.233605493,124.97808,676.712908,5,5,3,4,4,5,5,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
60,3093,1,26,55319.23,False,8.386280619,12,1,0,False,False,True,True,False,True,True,False,True,False,True,True,2.871017037,164.964681,1086.990308,5,5,4,4,3,4,4,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
61,2765,1,25,81831.49,False,9.565924291,10,3,0,False,True,False,True,True,False,False,True,True,True,False,False,2.344875382,194.976769,704.7540406,3,4,3,2,3,4,2,4,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False
62,3757,0,42,100076.65,True,10.79349982,14,3,0,False,True,False,True,False,True,True,False,False,False,True,True,7.960490246,152.455519,1416.444695,5,5,5,4,3,2,4,4,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
63,4938,1,81,69965.65,False,6.081975067,15,0,0,False,False,True,True,False,False,False,True,False,False,False,False,12.25062113,92.5018,1095.950634,5,5,5,3,4,3,2,5,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True
64,3761,1,43,34883.69,False,13.55065547,13,0,0,True,False,True,True,False,False,False,True,False,False,True,True,9.634946079,127.488728,1083.610268,4,4,4,3,4,4,3,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
65,1851,2,63,45634.2,False,9.470419821,14,1,0,False,True,False,True,True,False,True,True,False,True,False,False,7.916533093,184.963371,1570.641337,3,4,3,3,4,4,4,3,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False
66,38476,3,70,10964.73,True,6.194985909,11,0,1,False,True,False,True,True,False,False,True,True,True,True,True,4.471254161,265.146969,1007.425553,3,3,2,4,4,3,3,3,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
67,13547,1,78,22365.28,True,10.80393657,19,1,0,False,False,False,True,False,False,False,False,False,True,True,False,10.79028074,207.609354,1323.028419,4,4,3,6,2,5,7,4,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False
68,7801,0,48,52636.6,False,7.903964267,17,0,1,False,True,True,True,True,True,False,False,False,True,False,False,12.24190682,152.462354,1808.730555,3,1,2,2,5,2,2,1,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
69,17823,1,63,19048.13,True,11.27443693,18,2,1,True,True,False,True,False,False,False,True,False,True,True,True,2.203859443,200.132293,1120.241472,4,4,4,5,4,4,4,3,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
70,20269,4,60,42784.82,True,6.129509309,12,0,0,False,True,True,True,False,True,True,False,True,True,True,False,23.92132231,212.655686,2676.789803,5,5,6,5,3,7,5,5,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False
71,30225,0,87,77996.88,True,7.969277912,17,0,0,True,True,False,True,True,False,True,False,True,True,True,True,3.7311787,255.119794,1268.086909,3,3,4,5,4,3,5,4,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
72,5760,3,54,47507.3,False,4.368120492,9,0,0,False,True,False,True,False,False,True,False,False,False,False,True,7.980015371,134.950905,822.6771666,2,3,3,3,5,2,2,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
73,61,3,35,7724.73,True,6.258356398,9,0,1,False,True,False,True,False,False,True,True,True,True,True,True,9.190009376,255.137219,1577.915603,4,3,2,3,3,3,3,4,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
74,34359,1,70,1509.52,True,12.92303286,16,0,0,False,False,False,True,True,False,True,True,False,False,True,False,2.378630018,214.966286,648.7471776,4,4,4,5,2,3,4,4,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False
75,24693,2,67,81124.71,True,12.43301273,13,0,0,False,True,True,True,True,True,True,True,True,True,True,True,5.43464555,270.160419,1648.102673,3,3,4,3,5,3,3,4,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False
76,4235,4,46,11795.57,True,7.607663559,11,0,0,False,False,False,False,False,False,False,True,True,True,True,True,1.092361222,200.165175,768.0874545,1,1,2,2,3,1,3,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
77,2193,1,50,74794.84,False,7.442789019,10,2,1,False,False,False,True,False,False,True,False,False,False,True,False,20.13981517,149.937833,2426.030626,2,2,3,4,3,3,4,4,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
78,273,1,24,19038.78,True,13.04429298,18,1,0,False,False,True,True,True,False,False,False,False,True,True,True,24.64873861,240.114868,2660.503932,4,4,5,1,4,4,3,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
79,14557,0,20,79167.77,False,14.89762162,17,0,0,False,False,True,True,False,True,False,True,False,False,False,True,9.677739656,127.495766,1129.549713,3,4,3,4,5,4,3,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
80,17653,1,29,37428.26,True,13.79387475,13,2,1,False,True,False,True,False,False,False,False,False,True,True,False,9.82814183,187.609354,1771.286466,3,4,3,2,5,3,3,4,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
81,285,0,31,45148.38,False,15.66367593,6,1,0,True,True,False,True,True,False,False,True,True,False,False,False,7.832238337,169.992756,943.3391244,3,3,3,4,4,3,4,4,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
82,320,5,72,74855.47,False,8.513410306,13,3,0,False,True,False,True,True,False,False,False,True,False,True,False,19.45250317,192.456745,1907.226083,4,4,4,3,1,5,4,4,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
83,2863,4,71,45323.86,False,8.265002035,10,1,0,False,False,True,True,False,True,False,True,True,False,False,True,14.34766616,120.004928,1885.939118,4,4,3,3,4,3,2,5,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
84,1206,2,32,71596.14,False,8.6026551,11,0,0,False,True,False,True,True,True,True,True,True,False,False,False,2.257358355,195.006206,631.7435653,5,3,5,5,3,3,5,2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
85,35279,0,33,10389.95,False,6.03993035,15,1,0,False,False,False,True,False,True,False,False,False,True,False,True,2.358129018,139.95684,562.6095219,3,3,4,3,3,4,3,6,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False
86,1049,3,67,19657.14,False,14.6040829,12,3,0,True,False,False,True,False,False,True,False,True,False,False,True,4.650578623,114.983787,593.8572264,3,3,2,2,5,4,2,3,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False
87,32203,0,66,27827.03,True,7.274007029,13,1,1,False,True,False,True,True,False,False,False,False,True,True,False,3.721772616,207.638588,777.3060718,4,3,3,6,1,4,3,3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
88,25576,4,21,15609.05,True,8.913898759,12,4,0,False,True,False,True,False,False,False,False,False,True,True,True,3.76663012,187.609354,1393.202392,4,4,4,3,3,3,3,5,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
89,319,0,61,19815.63,False,11.59313893,13,0,2,False,True,True,True,False,False,True,False,False,False,False,True,4.151256695,134.950905,393.6524652,3,2,3,4,3,4,5,4,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False
90,55519,0,75,58482.9,True,8.294186076,13,0,0,False,False,False,True,True,False,False,True,False,False,True,True,2.188918771,192.470522,409.7486664,3,3,3,3,3,4,3,3,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
91,15210,0,63,41656.53,True,15.19664016,9,1,0,False,True,True,False,False,False,True,True,False,True,True,True,13.85488928,222.628057,2138.107161,3,2,3,2,4,3,2,4,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
92,3499,0,68,115510.46,False,5.083995994,3,1,0,False,True,False,True,False,True,False,False,True,False,True,True,3.273341151,162.468917,443.984031,2,2,2,4,3,3,4,3,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
93,14479,2,32,15841.19,True,6.942719201,7,1,1,False,True,False,True,True,False,True,True,False,False,False,False,19.75096265,159.979358,2481.385603,2,2,3,3,3,3,3,3,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
94,4654,0,76,81127.41,False,9.834012571,7,1,0,False,False,True,True,True,False,False,True,True,False,True,True,18.38404445,184.979684,2233.567181,3,2,3,4,2,4,5,3,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
95,26320,0,29,24270.88,True,11.0596826,13,0,0,False,False,False,True,False,True,True,True,False,True,True,True,4.672610857,245.145743,1158.91369,5,5,4,5,1,5,5,4,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
96,35,0,83,54466.33,False,8.834079073,17,0,1,False,False,False,True,False,False,False,True,False,False,False,False,6.796299371,124.97808,529.40733,4,4,4,3,2,4,3,4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
97,521,10,23,64816.84,True,5.271228601,14,1,1,False,False,False,True,False,True,True,True,True,True,False,False,12.97632235,187.484705,1956.7337,3,2,2,4,3,2,3,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
98,17600,5,80,103311.26,False,9.394961367,15,1,0,False,False,False,True,False,True,True,True,True,False,False,True,20.31163945,162.500692,2056.386979,5,4,4,3,4,4,5,5,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
99,3324,0,20,40211.04,False,14.4754365,11,1,1,False,False,False,True,True,False,False,True,False,True,False,True,6.998814446,182.467607,1067.373076,3,4,3,5,2,6,6,6,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False
100,55122,0,69,58077.38,True,10.68311773,12,1,1,False,False,False,False,False,False,True,True,True,True,True,True,14.46288204,222.660939,1806.135733,3,2,3,5,3,4,4,3,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False
101,4038,1,32,43466.35,False,13.79409442,10,1,0,False,False,False,True,True,False,False,True,False,True,False,True,11.13472066,182.467607,1397.701335,3,4,4,4,3,4,2,3,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False
102,31927,0,53,23289.77,True,12.40165307,19,1,0,False,False,True,True,True,False,False,True,False,True,True,True,2.542296644,220.161527,808.4305471,2,4,3,2,3,3,5,3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
103,19904,2,25,49158.49,False,10.24782033,9,1,0,False,False,False,True,False,False,True,False,False,False,True,True,17.22596021,169.937833,1886.531937,4,4,3,4,3,3,3,4,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False
